"aspiration","body-style","bore","city-mpg","compression-ratio","curb-weight","drive-wheels","engine-location","engine-size","engine-type","fuel-system","fuel-type","height","highway-mpg","horsepower","length","make","normalized-losses","num-of-cylinders","num-of-doors","peak-rpm","price","stroke","weight","wheel-base","width"
"0","sedan","3.19","10.0","24.0","2337.0","1","1","109","ohc","mpfi","1","54.3","30.0","102.3","176.6","audi","164.0","4","4","5500","13950.0","3.4","2","99.8","66.2"
"0","sedan","3.19","8.0","18.0","2824.0","4","1","136","ohc","mpfi","1","54.3","22.0","115.5","176.6","audi","164.0","5","4","5500","17450.0","3.4","2","99.4","66.4"
"0","sedan","3.19","8.5","19.0","2844.0","1","1","136","ohc","mpfi","1","55.7","25.0","110.79","192.7","audi","158.0","5","4","5500","17710.0","3.4","1","105.8","71.4"
"0","sedan","3.5","8.8","23.0","2395.0","2","1","108","ohc","mpfi","1","54.3","29.0","101.26","176.8","bmw","192.0","4","2","5800","16430.0","2.8","2","101.2","64.8"
"0","sedan","3.5","8.8","23.0","2395.0","2","1","108","ohc","mpfi","1","54.3","29.0","101.44","176.8","bmw","192.0","4","4","5800","16925.0","2.8","0","101.2","64.8"
"0","sedan","3.31","9.0","21.0","2765.0","2","1","164","ohc","mpfi","1","54.3","28.0","121.38","176.8","bmw","188.0","6","4","4250","21105.0","3.19","0","101.2","64.8"
"0","hatchback","2.91","9.5","47.0","1488.0","1","1","61","l","2bbl","1","53.2","53.0","48.07","141.1","chevrolet","121.0","3","2","5100","5151.0","3.03","2","88.4","60.3"
"0","hatchback","2.97","9.4","31.0","1876.0","1","1","90","ohc","2bbl","1","50.8","38.0","68.5","157.3","dodge","118.0","4","2","5500","6377.0","3.23","1","93.7","63.8"
"1","hatchback","3.03","7.6","24.0","2128.0","1","1","98","ohc","mpfi","1","50.8","30.0","102.29","157.3","dodge","118.0","4","2","5500","7957.0","3.39","1","93.7","63.8"
"0","sedan","2.97","9.4","31.0","1989.0","1","1","90","ohc","2bbl","1","50.6","38.0","68.37","157.3","dodge","148.0","4","4","5500","6692.0","3.23","1","93.7","63.8"
"0","hatchback","3.15","9.0","27.0","2289.0","1","1","110","ohc","1bbl","1","53.3","33.0","86.48","167.5","honda","106.0","4","2","5800","9095.0","3.58","0","96.5","65.2"
"0","hatchback","3.03","9.0","31.0","1905.0","1","1","91","ohc","2bbl","1","54.1","38.0","68.65","159.1","mazda","104.0","4","2","5000","6795.0","3.15","1","93.1","64.2"
"0","sedan","3.03","9.0","31.0","1945.0","1","1","91","ohc","2bbl","1","54.1","38.0","68.22","166.8","mazda","113.0","4","4","5000","6695.0","3.15","1","93.1","64.2"
"0","hatchback","3.39","8.6","26.0","2385.0","1","1","122","ohc","2bbl","1","53.7","32.0","84.0","177.8","mazda","129.0","4","2","4800","8845.0","3.39","1","98.8","66.5"
"0","hatchback","3.39","8.6","26.0","2385.0","1","1","122","ohc","2bbl","1","53.7","32.0","84.39","177.8","mazda","129.0","4","2","4800","10595.0","3.39","1","98.8","66.5"
"1","sedan","3.58","21.5","22.0","3515.0","2","1","183","ohc","idi","2","56.5","25.0","123.58","190.9","mercedes-benz","93.0","5","4","4350","25552.0","3.64","-1","110.0","70.3"
"1","wagon","3.58","21.5","22.0","3750.0","2","1","183","ohc","idi","2","58.7","25.0","123.56","190.9","mercedes-benz","93.0","5","4","4350","28248.0","3.64","-1","110.0","70.3"
"0","convertible","3.46","8.3","16.0","3685.0","2","1","234","ohcv","mpfi","1","50.8","18.0","155.88","180.3","mercedes-benz","142.0","8","2","4750","35056.0","3.1","3","96.6","70.5"
"0","hatchback","2.97","9.4","31.0","1944.0","1","1","92","ohc","2bbl","1","50.8","38.0","68.1","157.3","mitsubishi","161.0","4","2","5500","6189.0","3.23","2","93.7","64.4"
"0","hatchback","2.97","9.4","31.0","2004.0","1","1","92","ohc","2bbl","1","50.8","38.0","68.4","157.3","mitsubishi","161.0","4","2","5500","6669.0","3.23","2","93.7","64.4"
"1","hatchback","3.03","7.6","24.0","2145.0","1","1","98","ohc","spdi","1","50.8","30.0","102.78","157.3","mitsubishi","161.0","4","2","5500","7689.0","3.39","1","93.0","63.8"
"0","hatchback","3.35","8.5","25.0","2328.0","1","1","122","ohc","2bbl","1","49.4","32.0","88.41","173.0","mitsubishi","153.0","4","2","5000","8499.0","3.46","3","96.3","65.4"
"0","sedan","3.35","8.5","25.0","2405.0","1","1","122","ohc","2bbl","1","51.6","32.0","88.49","172.4","mitsubishi","125.0","4","4","5000","8189.0","3.46","1","96.3","65.4"
"1","sedan","3.17","7.5","23.0","2403.0","1","1","110","ohc","spdi","1","51.6","30.0","116.44","172.4","mitsubishi","125.0","4","4","5500","9279.0","3.46","1","96.3","65.4"
"0","sedan","3.15","9.4","31.0","1918.0","1","1","97","ohc","2bbl","1","54.5","37.0","69.94","165.3","nissan","128.0","4","2","5200","6649.0","3.29","1","94.5","63.8"
"0","sedan","3.15","9.4","31.0","1938.0","1","1","97","ohc","2bbl","1","54.5","37.0","69.65","165.3","nissan","122.0","4","4","5200","6849.0","3.29","1","94.5","63.8"
"0","sedan","3.15","9.4","31.0","1951.0","1","1","97","ohc","2bbl","1","54.5","37.0","69.06","165.3","nissan","128.0","4","2","5200","7299.0","3.29","1","94.5","63.8"
"0","wagon","3.15","9.4","31.0","2037.0","1","1","97","ohc","2bbl","1","53.5","37.0","69.36","170.2","nissan","103.0","4","4","5200","7999.0","3.29","1","94.5","63.8"
"0","hatchback","3.33","8.5","27.0","2324.0","1","1","120","ohc","2bbl","1","54.7","34.0","97.53","173.4","nissan","106.0","4","4","5200","8949.0","3.47","0","97.2","65.2"
"0","sedan","3.33","8.5","27.0","2302.0","1","1","120","ohc","2bbl","1","54.7","34.0","97.82","173.4","nissan","106.0","4","4","5200","9549.0","3.47","0","97.2","65.2"
"0","wagon","3.43","9.0","17.0","3296.0","1","1","181","ohcv","mpfi","1","56.1","22.0","152.43","184.6","nissan","108.0","6","4","5200","14399.0","3.27","0","100.4","66.5"
"0","sedan","3.43","9.0","19.0","3060.0","1","1","181","ohcv","mpfi","1","55.1","25.0","152.47","184.6","nissan","108.0","6","4","5200","13499.0","3.27","0","100.4","66.5"
"0","hatchback","3.43","9.0","19.0","3071.0","2","1","181","ohcv","mpfi","1","49.7","25.0","160.3","170.7","nissan","194.0","6","2","5200","17199.0","3.27","3","91.3","67.9"
"0","hatchback","3.43","9.0","19.0","3139.0","2","1","181","ohcv","mpfi","1","49.7","25.0","160.94","178.5","nissan","231.0","6","2","5200","18399.0","3.27","1","99.2","67.9"
"1","sedan","3.7","21.0","28.0","3197.0","2","1","152","l","idi","2","56.7","33.0","95.2","186.7","peugot","161.0","4","4","4150","13200.0","3.52","0","107.9","68.4"
"0","sedan","3.46","8.4","19.0","3075.0","2","1","120","l","mpfi","1","56.7","24.0","95.5","186.7","peugot","161.0","4","4","5000","15580.0","2.19","0","107.9","68.4"
"1","sedan","3.7","21.0","28.0","3252.0","2","1","152","l","idi","2","56.7","33.0","95.73","186.7","peugot","161.0","4","4","4150","16900.0","3.52","0","107.9","68.4"
"0","sedan","3.46","8.4","19.0","3075.0","2","1","120","l","mpfi","1","56.7","24.0","97.73","186.7","peugot","161.0","4","4","5000","16630.0","3.19","0","107.9","68.4"
"1","sedan","3.7","21.0","28.0","3252.0","2","1","152","l","idi","2","56.7","33.0","95.84","186.7","peugot","161.0","4","4","4150","17950.0","3.52","0","107.9","68.4"
"0","hatchback","2.97","9.4","37.0","1918.0","1","1","90","ohc","2bbl","1","50.8","41.0","68.16","157.3","plymouth","119.0","4","2","5500","5572.0","3.23","1","93.7","63.8"
"1","hatchback","3.03","7.6","24.0","2128.0","1","1","98","ohc","spdi","1","50.8","30.0","102.53","157.3","plymouth","119.0","4","2","5500","7957.0","3.39","1","93.7","63.8"
"0","sedan","2.97","9.4","31.0","1989.0","1","1","90","ohc","2bbl","1","50.8","38.0","68.02","167.3","plymouth","154.0","4","4","5500","6692.0","3.23","1","93.7","63.8"
"0","sedan","3.54","9.3","21.0","2695.0","1","1","121","ohc","mpfi","1","56.1","28.0","110.5","186.6","saab","104.0","4","4","5250","12170.0","3.07","2","99.1","66.5"
"0","hatchback","2.54","9.3","21.0","2707.0","1","1","121","ohc","mpfi","1","56.1","28.0","160.99","186.6","saab","150.0","4","2","5250","15040.0","2.07","3","99.1","66.5"
"1","hatchback","3.54","9.0","19.0","2808.0","1","1","121","dohc","mpfi","1","56.1","26.0","69.07","186.6","saab","150.0","4","2","5500","18150.0","3.07","3","99.1","66.5"
"0","hatchback","3.62","8.7","26.0","2120.0","1","1","108","ohcf","2bbl","1","53.7","31.0","82.19","157.9","subaru","83.0","4","2","4400","7053.0","2.64","2","93.7","63.6"
"0","hatchback","3.62","8.7","26.0","2240.0","4","1","108","ohcf","2bbl","1","55.7","31.0","82.6","157.3","subaru","83.0","4","2","4400","7603.0","2.64","2","93.3","63.8"
"0","sedan","3.62","9.5","32.0","2145.0","1","1","108","ohcf","2bbl","1","52.5","37.0","94.77","172.0","subaru","102.0","4","4","4800","7126.0","2.64","0","97.2","65.4"
"0","sedan","3.62","9.5","28.0","2190.0","1","1","108","ohcf","2bbl","1","52.5","33.0","82.78","172.0","subaru","102.0","4","4","4400","7775.0","2.64","0","97.2","65.4"
"0","sedan","3.62","9.0","26.0","2340.0","1","1","108","ohcf","mpfi","1","52.5","32.0","111.37","172.0","subaru","102.0","4","4","5200","9960.0","2.64","0","97.2","65.4"
"1","sedan","3.62","7.7","24.0","2510.0","4","1","108","ohcf","mpfi","1","54.3","29.0","94.6","172.0","subaru","102.0","4","4","4800","11259.0","2.64","0","97.0","65.4"
"0","wagon","3.62","9.0","28.0","2290.0","1","1","108","ohcf","2bbl","1","53.0","32.0","82.56","173.5","subaru","89.0","4","4","4800","7463.0","2.64","0","97.0","65.4"
"0","wagon","3.62","9.0","25.0","2455.0","1","1","108","ohcf","mpfi","1","53.0","31.0","111.5","173.5","subaru","89.0","4","4","5200","10198.0","2.64","0","97.0","65.4"
"1","wagon","3.62","7.7","23.0","2650.0","4","1","108","ohcf","mpfi","1","54.9","23.0","62.67","173.6","subaru","85.0","4","4","4800","11694.0","2.64","0","96.9","65.4"
"0","hatchback","3.05","9.0","31.0","2040.0","1","1","92","ohc","2bbl","1","54.5","38.0","62.23","158.7","toyota","87.0","4","2","4800","6338.0","3.03","1","95.7","63.6"
"0","hatchback","3.05","9.0","31.0","2015.0","1","1","92","ohc","2bbl","1","54.5","38.0","62.46","158.7","toyota","74.0","4","4","4800","6488.0","3.03","1","95.7","63.6"
"0","wagon","3.05","9.0","27.0","2290.0","4","1","92","ohc","2bbl","1","59.1","32.0","70.55","169.7","toyota","81.0","4","4","4800","7898.0","3.03","0","95.7","63.6"
"0","sedan","3.19","9.0","30.0","2081.0","1","1","98","ohc","2bbl","1","53.0","37.0","56.29","166.3","toyota","91.0","4","4","4800","6938.0","3.03","0","95.7","64.4"
"0","hatchback","3.19","9.0","30.0","2109.0","1","1","98","ohc","2bbl","1","52.8","37.0","56.62","166.3","toyota","91.0","4","4","4800","7198.0","3.03","0","95.7","64.4"
"0","sedan","3.27","22.5","34.0","2275.0","1","1","110","ohc","idi","2","53.0","36.0","70.99","166.3","toyota","91.0","4","4","4500","7898.0","3.35","0","95.7","64.4"
"0","sedan","3.19","9.0","29.0","2169.0","2","1","98","ohc","2bbl","1","52.6","34.0","112.38","168.7","toyota","168.0","4","2","4800","8058.0","3.03","1","94.5","64.0"
"0","hatchback","3.19","9.0","29.0","2204.0","2","1","98","ohc","2bbl","1","52.6","34.0","112.71","168.7","toyota","168.0","4","2","4800","8238.0","3.03","1","94.5","64.0"
"0","hardtop","3.62","9.3","24.0","2536.0","2","1","146","ohc","mpfi","1","52.0","30.0","116.22","176.2","toyota","134.0","4","2","4800","9639.0","3.5","2","98.4","65.6"
"0","hatchback","3.62","9.3","24.0","2714.0","2","1","146","ohc","mpfi","1","52.0","30.0","92.84","176.2","toyota","134.0","4","2","4800","11549.0","3.5","2","98.4","65.6"
"0","convertible","3.62","9.3","24.0","2975.0","2","1","146","ohc","mpfi","1","53.0","30.0","73.83","176.2","toyota","134.0","4","2","4800","17669.0","3.5","2","98.4","65.6"
"1","sedan","3.27","22.5","30.0","2480.0","1","1","110","ohc","idi","2","54.9","33.0","92.35","175.6","toyota","65.0","4","4","4500","10698.0","3.35","-1","102.4","66.5"
"0","sedan","3.31","8.7","27.0","2414.0","1","1","122","ohc","mpfi","1","54.9","32.0","161.37","175.6","toyota","65.0","4","4","4200","10898.0","3.54","-1","102.4","66.5"
"0","hatchback","3.27","9.3","20.0","2976.0","2","1","171","dohc","mpfi","1","52.0","24.0","156.63","183.5","toyota","197.0","6","2","5200","16558.0","3.35","3","102.9","67.7"
"0","sedan","3.19","9.0","27.0","2212.0","1","1","109","ohc","mpfi","1","55.7","34.0","68.41","171.7","volkswagen","94.0","4","4","5250","8195.0","3.4","2","97.3","65.5"
"1","sedan","3.01","23.0","37.0","2319.0","1","1","97","ohc","idi","2","55.7","42.0","90.4","171.7","volkswagen","94.0","4","4","4500","9495.0","3.4","2","97.3","65.5"
"0","sedan","3.19","10.0","26.0","2300.0","1","1","109","ohc","mpfi","1","55.7","32.0","90.9","171.7","volkswagen","94.0","4","4","5500","9995.0","3.4","2","97.3","65.5"
"0","hatchback","3.19","8.5","24.0","2221.0","1","1","109","ohc","mpfi","1","51.4","29.0","68.67","165.7","volkswagen","256.0","4","2","5500","9980.0","3.4","3","94.5","64.0"
"0","wagon","3.78","9.5","23.0","3034.0","2","1","141","ohc","mpfi","1","57.5","28.0","114.01","188.8","volvo","74.0","4","4","5400","13415.0","3.15","-1","104.3","67.2"
"0","wagon","3.78","9.5","24.0","3042.0","2","1","141","ohc","mpfi","1","57.5","28.0","162.02","188.8","volvo","74.0","4","4","5400","16515.0","3.15","-1","104.3","67.2"
"1","sedan","3.62","7.5","17.0","3045.0","2","1","130","ohc","mpfi","1","56.2","22.0","114.62","188.8","volvo","103.0","4","4","5100","18420.0","3.15","-2","104.3","67.2"
"1","sedan","3.78","9.5","19.0","3062.0","2","1","141","ohc","mpfi","1","55.5","25.0","111.73","188.8","volvo","95.0","4","4","5400","22625.0","3.15","-1","109.1","68.9"
